call_id,datetime,duration_seconds,queue_name,agent_id,wait_time_seconds,abandoned,hangup_reason
8505baea-bf43-4f51-9677-7e4460762437,2024-05-20 18:35:36,42,support,A02,55,False,Issue Resolved
b5f1c94e-465f-4f71-af15-ea2809bfc3c0,2024-09-08 18:22:07,622,sales,A07,377,False,Call Dropped
6aae0fde-27f3-4e79-9bb3-b108cca4ea65,2024-06-11 17:42:49,0,technical,A09,377,True,Call Dropped
6681d9be-b316-4bd9-a722-7c55389a0fd9,2024-03-01 13:51:41,100,sales,A13,577,False,Long Wait Time
089f1846-322e-471e-b50a-ab5b9db77b3c,2024-11-19 09:17:39,114,sales,A10,472,False,Long Wait Time
48cee590-5986-4603-a143-9fffcbf0a6a4,2024-10-21 13:43:44,0,billing,A11,125,True,Call Dropped
22374056-6afa-46f7-8607-194458e7aabd,2024-04-05 21:34:12,371,support,A08,450,False,Issue Resolved
1c9040bd-8296-40fd-aa88-19b88596fbc1,2024-02-24 17:15:02,31,billing,A17,513,False,Wrong Department
0d8c7ef9-1c7d-41d5-96c4-77669aca2783,2024-09-05 11:11:11,260,technical,A03,598,False,Call Dropped
5a0e9dd4-5618-4a00-81e3-40d57df86278,2024-10-14 08:07:23,0,technical,A03,163,True,Call Dropped
44c25c7b-4f6e-4e0a-b05f-ec20d2ff68f6,2024-01-29 20:28:02,503,technical,A03,148,False,Issue Resolved
20e5556a-d903-435a-a173-38800f1c6034,2024-09-30 13:42:03,47,sales,A13,415,False,Wrong Department
e4b20788-5bc4-467e-b543-984337ba7216,2024-05-09 16:53:05,187,technical,A13,230,False,Issue Resolved
efc9558c-0a0b-49db-9023-3e15963c87a1,2024-01-05 09:56:54,259,technical,A04,370,False,Long Wait Time
26e41bce-238a-4080-84b9-20531522cc79,2024-03-18 12:39:29,68,support,A05,166,False,Other
9577547c-1c3b-493d-a215-acdf3a53b9e2,2024-09-09 14:27:14,561,billing,A11,533,False,Other
3bf6eca3-d927-4aba-8126-71c59b46e60a,2024-05-05 10:09:51,182,billing,A03,353,False,Other
f58b31aa-5d5e-4138-9709-1d0dd8f11337,2024-10-25 11:00:26,151,sales,A19,123,False,Long Wait Time
b009d2b2-a5e3-45ee-897a-b15a81e5c940,2024-03-27 16:34:40,168,support,A01,371,False,Long Wait Time
3f806b02-f4f8-41e3-b74c-6d7658cf9ec2,2024-06-05 16:43:11,173,technical,A07,569,False,Issue Resolved
